	adjusted_p_values	mean_all	mean_all_other	mean_kmeans_1	pvalues	ratio kmeans_1 to everything
Zcchc8	0.9504473248390944	0.4139329377916713	0.4284092019463843	0.3894611579110849	0.8554328423201883	0.9727332728029
Zc2hc1c	0.9504473248390944	0.10282585145712173	0.09550047080893338	0.11520923302905917	0.8554353330400712	1.0179906469648277
Pin1	0.9504473248390944	0.8065763218062081	0.8300678801198802	0.7668644017997625	0.8554861114522712	0.9654638612006142
Eif4ebp2	0.9505080480969652	0.5396748464546646	0.5190272220774778	0.5745791638541947	0.8556242921533666	1.0365707348553912
1810058I24Rik	0.950571143438788	1.3623531668936584	1.3897891219534655	1.31597333810208	0.8557745327708585	0.9691120094349385
Rif1	0.950571143438788	1.2848455306124948	1.3137915386318428	1.2359129932464539	0.8558940393865409	0.9663415895143955
Ssna1	0.950571143438788	1.2190842112480482	1.1902772360787186	1.2677817168914394	0.8559486618157496	1.0353856943477522
Uba2	0.950571143438788	0.7499171026235697	0.7722899367048998	0.7120963592956063	0.856052306716346	0.9660362697081003
Hnf1b	0.950571143438788	0.3136860166910842	0.2977923135333716	0.34055394345769374	0.8561189968014953	1.03294951702087
Cinp	0.950571143438788	0.3673489245533342	0.3849332403416538	0.3376230573873653	0.8561822689145497	0.9658393765300792
Ercc5	0.9509155863115458	0.3057975282687509	0.3195904452295494	0.2824809305493058	0.8566347972488056	0.9718780059264612
Camsap2	0.9509155863115458	0.7958979093224965	0.8178599306552282	0.7587716351647832	0.8566596301288196	0.9674956829764396
Ndufs7	0.951228724389491	1.7699721985833732	1.802426159155457	1.7151095509496126	0.8571958860631556	0.9688424945932712
Top2b	0.951228724389491	1.3850745378268523	1.4129893786115286	1.3378851641194243	0.8572572319619165	0.9688750331195738
Snrnp48	0.951228724389491	0.44625776739048645	0.46059527892364327	0.42202054551300694	0.8574039133807251	0.9735897178586916
Mpzl3	0.951228724389491	0.21143647512339	0.22654939521836212	0.18588844353427053	0.8574185490929608	0.9668493157775738
Gpank1	0.951228724389491	0.2939377730822955	0.27845202382834777	0.32011606348777866	0.8574734621605105	1.032589443235161
Casp6	0.951228724389491	0.69524350397476	0.6734969968366137	0.7320054565178169	0.8575940944852454	1.034961795444988
Cep63	0.951228724389491	0.19593213717748248	0.2075872047965204	0.1762295228691088	0.8576126063154633	0.9740327805703313
Enpp5	0.951228724389491	0.46024396434810194	0.44236459052225224	0.4904686201013241	0.8576963878453652	1.0333508115043606
Daam1	0.951228724389491	1.1158441156760768	1.1423344996669798	1.0710627522628837	0.8577184620437359	0.9667317370769246
Zbtb22	0.951228724389491	0.22286630275725447	0.23417842725755433	0.20374342562579523	0.8577776071779399	0.9753398690500628
