	adjusted_p_values	mean_all	mean_kmeans_0	pvalues	ratio kmeans_0 to kmeans_3
Gfm1	0.9084329562723342	0.5889102505036801	0.8281952464317699	0.7858982824693436	1.0809356532486492
N4bp1	0.9085711453601549	0.2891411967431258	0.3969192352327335	0.7860976711086192	0.9291577011961086
Wdr53	0.9087211416386063	0.12482488028240071	0.0740278595474597	0.786307300677975	1.026206459165
Ylpm1	0.9088376610616999	0.9375167384505081	0.9896933853728334	0.7866426238429423	1.0652094387652769
Madd	0.9088376610616999	0.13963098570141705	0.05614616094169313	0.7866426309604855	1.0209294746193076
Fastkd5	0.9088376610616999	0.22391516101431222	0.17461942499487407	0.7866892036911379	0.9422755744644594
Nubpl	0.9088376610616999	0.14481803564128154	0.22267654964368028	0.7867275746150093	1.0672246581441607
Gm13597	0.9089576072232526	0.6349948447242313	0.8036375968569289	0.7870319661377672	1.0466084755420058
Bcl11b	0.9089576072232526	0.12314117614492033	0.1887177954008489	0.7870509378411354	1.0602876919951638
Gm16023	0.9089576072232526	0.06385026765555768	0.09783015259053698	0.7870710247432278	1.0339056299481908
Setd1b	0.9089654508093676	1.0823837646725367	1.3374352152435205	0.7871576904856168	1.057189245650352
Trim23	0.908975247913219	0.7462398771570261	0.4606494695763998	0.7873480346913428	1.0741702281967656
Gm15427	0.908975247913219	3.9337422226139624	4.983057908838454	0.7873886012185937	0.9776407930306223
Ctage5	0.908975247913219	1.2581645144421014	1.140816394681245	0.7874457114531311	1.0715660325204357
Dctn2	0.908975247913219	1.4535930669418533	2.1058847570689063	0.7875825010014353	1.0602674229967033
Atp11c	0.908975247913219	0.27807686582374275	0.31584931948506034	0.7876467165862507	1.066630054115661
Zfp148	0.908975247913219	1.5191282117398355	1.7161444820312772	0.7877053370357046	1.0608973723442976
Mpc1	0.908975247913219	3.5844655833172405	3.6871449711121715	0.7877599538529185	1.0404937771325276
Stk24	0.908975247913219	0.25235697996896017	0.1472976971259105	0.7878051731254903	1.0509571155362778
Trim25	0.9090350892317448	0.5291322653003181	0.41400634919666723	0.7879629332644632	1.0644098263486022
Rab11fip3	0.9090350892317448	0.1719184318846027	0.12623622894342013	0.7880452672134792	0.9567439372753507
Pdik1l	0.9090350892317448	0.1976022467685474	0.17386280581080835	0.7881542003394396	1.066098430436886
Bag5	0.9090350892317448	0.274101098851145	0.24115914239597955	0.788176557596628	1.0587078342247336
Brat1	0.9090571768869302	0.1854142563089664	0.1352842846537007	0.7882755906432537	0.9762083128231731
Cyb5d2	0.9090950092313267	0.2740781012075962	0.35002449981169326	0.7883882817314555	0.9331833272597796
Vps29	0.9091798980927694	1.531372047633596	1.8703216414134842	0.7885417921068221	1.062333370841181
Rabgef1	0.9095010827085138	1.3644312293212844	1.9694014784669196	0.7889416506025705	1.0620681228969129
Mturn	0.9095010827085138	0.0972761973863221	0.1451937764974863	0.7889802010982819	1.0590222813102728
Fech	0.9096357416365021	0.5353140397649079	0.3938216477996903	0.7891769487853413	0.9392358661349669
Esyt2	0.909694316116528	1.3372706998804835	1.7179007382056988	0.789382478500859	0.936394225315704
Clec16a	0.909694316116528	0.10369698482087446	0.12277662141044056	0.7894040396455939	0.9586445784057858
Rapgef3	0.909694316116528	0.1282563432001284	0.12753052215926983	0.7894675804891766	1.042641178992776
Rab13	0.9097524784464256	0.2620278027313851	0.3329699829975488	0.7895979990874645	1.0733995203367697
Phactr1	0.9098716450365671	0.7694850930871268	1.262445203562651	0.7897813804631995	0.9388298407799999
Pramef8	0.910908839726469	0.23759813196310084	0.35563722842596873	0.7909038069716889	0.9392535825767047
Gm38126	0.910908839726469	0.4748112427187063	0.47462302799228084	0.7910175650925316	0.9250774667289948
Eif1b	0.910908839726469	0.9628283543948883	1.0035416217086133	0.7910411075132155	0.9331863888297726
Nfic	0.910908839726469	0.42111788911115955	0.23239951070904963	0.7910810860827231	1.0496590752955657
Acsl5	0.910908839726469	2.2758688105850204	0.8674912195059482	0.7910819036042788	1.0709833602180423
Dnajc18	0.9112128500279814	0.5006131579008385	0.6461922067271467	0.7914259938204365	0.9251099599804502
Lrp10	0.9112360953399197	0.49055775196476165	0.7344063110347134	0.791526256804491	0.9373242809134157
Cdc34	0.9113837900088227	0.20822382427137665	0.2702617118374219	0.791734635151777	1.0533260691880075
Zfp111	0.9117754497499531	0.21149207288451846	0.33577090139835547	0.792154997511229	1.0674906037205485
