	adjusted_p_values	mean_all	mean_kmeans_0	mean_kmeans_1	pvalues	ratio kmeans_0 to kmeans_1
Diaph1	0.9426140099929722	1.279801878149902	1.351086642068296	1.272706930512502	0.8822059486028511	1.034487381766429
Mybbp1a	0.9427601341357946	0.3814747721353043	0.5051559798460261	0.5727382073978416	0.8824254718774331	0.9570289402051005
Lpar3	0.9427840600975435	0.15157022509361295	0.2662491581525583	0.3143915656591264	0.8825631887994277	0.9633728572486495
Acad11	0.9427840600975435	0.20410486212427853	0.2917652368823999	0.2489691233568012	0.8826133980230185	1.0342651493341786
Mdp1	0.9430694797047299	0.5664424051249664	0.6925450108531621	0.7567889358728926	0.8830067656048575	0.9634310509885982
Trim25	0.9430694797047299	0.5291322653003181	0.5050822526042456	0.4526799113839399	0.8830461829980378	1.0360728752491544
Mapk8ip3	0.9431216273716481	0.39075204597589436	0.4703229975829329	0.4144350603408385	0.8831778069680775	1.0395125508474223
Hmox2	0.9434129116714713	1.5632829167655033	1.4342327601718303	1.5322842113320467	0.88353339844713	0.9612794445736251
Gm38218	0.9434156587267848	0.11152521295374347	0.1933118967518359	0.2330335839565939	0.883656530741602	0.9677853971525269
Gm4950	0.9434156587267848	0.10173456855552447	0.13971377283082345	0.116619561333309	0.8837016134329553	1.0206822558884234
Gm6741	0.9435324205462726	0.20687500243906667	0.34636804718110054	0.29709256446834503	0.8839209485708545	1.0379891798492829
Fdft1	0.9435324205462726	1.8491637306348043	2.491730764339057	2.6077354644495268	0.8840313834382953	0.9678455637189658
Gm7846	0.9435324205462726	0.19735810905199216	0.0804736380304519	0.09345678310182327	0.8840594789298892	0.9881265128425633
Stxbp3	0.9435752969161356	0.846100534379363	0.7493587186019725	0.8227506949027728	0.8842093084294693	0.9597355927467004
Naa10	0.9435752969161356	0.5339119367214511	0.8147454577840741	0.7442326230407904	0.8842653230251731	1.0404262790477774
Zfp275	0.943583738297548	0.32160689300749634	0.41477082960227873	0.36156637577564077	0.8843560697098256	1.0390759163660523
Gm42702	0.9437910244026188	0.7394749178592599	0.5627702318381226	0.5075345596018842	0.8846331988014011	1.036639738627833
Rprd1b	0.9441702770655221	0.5522538730382467	0.7534221468737098	0.8278950808253113	0.8852277887750181	0.9592575445205661
Rnf141	0.9441702770655221	0.4062992711070348	0.3921130465858164	0.341167145006675	0.8852417241470302	1.0379862433767626
Slco2a1	0.9441702770655221	1.9156404434465892	2.0379714791580854	2.1357982380037113	0.8852668063801657	0.9688032355972291
Camta1	0.9441702770655221	0.5950840243484381	0.39574330598609864	0.44674263111391577	0.8853202290700414	0.9647488613171298
Mrpl36	0.944594073019073	0.6402001793915906	0.7348247614521936	0.667448309782894	0.8858419824590776	1.0404069207267193
